,target_size,f,k,c,i,total_multiplications,configuration_mismatch
0,1000,3,2,1,7,588,0.412
1,1000,3,2,2,5,600,0.4
2,1000,3,2,3,4,576,0.424
3,1000,3,3,1,5,675,0.325
4,1000,3,3,2,4,864,0.136
5,1000,3,3,3,3,729,0.271
6,1000,3,4,1,4,768,0.232
7,1000,3,4,2,3,864,0.136
8,1000,3,4,3,3,1296,0.296
9,1000,3,5,1,3,675,0.325
10,1000,3,5,2,3,1350,0.35
11,1000,3,5,3,3,2025,1.025
12,1000,3,6,1,3,972,0.028
13,1000,3,6,2,3,1944,0.944
14,1000,3,6,3,3,2916,1.916
15,1000,3,7,1,3,1323,0.323
16,1000,3,7,2,3,2646,1.646
17,1000,3,7,3,3,3969,2.969
18,1000,4,2,1,6,576,0.424
19,1000,4,2,2,4,512,0.488
20,1000,4,2,3,4,768,0.232
21,1000,4,3,1,4,576,0.424
22,1000,4,3,2,3,648,0.352
23,1000,4,3,3,3,972,0.028
24,1000,4,4,1,3,576,0.424
25,1000,4,4,2,3,1152,0.152
26,1000,4,4,3,3,1728,0.728
27,1000,4,5,1,3,900,0.1
28,1000,4,5,2,3,1800,0.8
29,1000,4,5,3,3,2700,1.7
30,1000,4,6,1,3,1296,0.296
31,1000,4,6,2,3,2592,1.592
32,1000,4,6,3,3,3888,2.888
33,1000,4,7,1,3,1764,0.764
34,1000,4,7,2,3,3528,2.528
35,1000,4,7,3,3,5292,4.292
36,10000,3,2,1,21,5292,0.4708
37,10000,3,2,2,15,5400,0.46
38,10000,3,2,3,12,5184,0.4816
39,10000,3,3,1,14,5292,0.4708
40,10000,3,3,2,10,5400,0.46
41,10000,3,3,3,8,5184,0.4816
42,10000,3,4,1,11,5808,0.4192
43,10000,3,4,2,8,6144,0.3856
44,10000,3,4,3,6,5184,0.4816
45,10000,3,5,1,9,6075,0.3925
46,10000,3,5,2,6,5400,0.46
47,10000,3,5,3,5,5625,0.4375
48,10000,3,6,1,7,5292,0.4708
49,10000,3,6,2,5,5400,0.46
50,10000,3,6,3,4,5184,0.4816
