,target_size,f1,f2,k,i,total_multiplications,configuration_mismatch
0,1000,1,1,2,11,968,0.032
1,1000,1,1,5,4,800,0.2
2,1000,1,1,7,3,882,0.118
3,1000,1,2,2,9,972,0.028
4,1000,1,2,5,4,1200,0.2
5,1000,1,2,7,3,1323,0.323
6,1000,1,3,2,8,1024,0.024
7,1000,1,3,5,3,900,0.1
8,1000,1,3,7,3,1764,0.764
9,1000,1,4,2,7,980,0.02
10,1000,1,4,5,3,1125,0.125
11,1000,1,4,7,3,2205,1.205
12,1000,2,1,2,6,864,0.136
13,1000,2,1,5,3,1350,0.35
14,1000,2,1,7,3,2646,1.646
15,1000,2,2,2,6,1152,0.152
16,1000,2,2,5,3,1800,0.8
17,1000,2,2,7,3,3528,2.528
18,1000,2,3,2,5,1000,0.0
19,1000,2,3,5,3,2250,1.25
20,1000,2,3,7,3,4410,3.41
21,1000,2,4,2,5,1200,0.2
22,1000,2,4,5,3,2700,1.7
23,1000,2,4,7,3,5292,4.292
24,1000,3,1,2,5,1200,0.2
25,1000,3,1,5,3,2700,1.7
26,1000,3,1,7,3,5292,4.292
27,1000,3,2,2,4,960,0.04
28,1000,3,2,5,3,3375,2.375
29,1000,3,2,7,3,6615,5.615
30,1000,3,3,2,4,1152,0.152
31,1000,3,3,5,3,4050,3.05
32,1000,3,3,7,3,7938,6.938
33,1000,3,4,2,3,756,0.244
34,1000,3,4,5,3,4725,3.725
35,1000,4,1,2,4,1280,0.28
36,1000,4,1,5,3,4500,3.5
37,1000,4,1,7,3,8820,7.82
38,1000,4,2,2,3,864,0.136
39,1000,4,2,5,3,5400,4.4
40,1000,4,3,2,3,1008,0.008
41,1000,4,3,5,3,6300,5.3
42,1000,4,4,2,3,1152,0.152
43,1000,4,4,5,3,7200,6.2
44,10000,1,1,2,35,9800,0.02
45,10000,1,1,5,14,9800,0.02
46,10000,1,1,7,10,9800,0.02
47,10000,1,2,2,29,10092,0.0092
48,10000,1,2,5,12,10800,0.08
49,10000,1,2,7,8,9408,0.0592
50,10000,1,3,2,25,10000,0.0
51,10000,1,3,5,10,10000,0.0
52,10000,1,3,7,7,9604,0.0396
